date,close,open,high,low,%_change
"Jul 22, 2020","1,854.21","1,843.13","1,865.87","1,842.61",0.65%
"Jul 21, 2020","1,842.22","1,815.89","1,843.89","1,815.57",1.44%
"Jul 20, 2020","1,816.09","1,809.58","1,820.73","1,805.60",0.34%
"Jul 17, 2020","1,809.90","1,797.30","1,812.03","1,795.11",0.71%
"Jul 16, 2020","1,797.05","1,811.90","1,813.74","1,795.02",-0.82%
"Jul 15, 2020","1,811.90","1,807.80","1,814.79","1,802.72",0.23%
"Jul 14, 2020","1,807.79","1,803.19","1,811.03","1,791.46",0.24%
"Jul 13, 2020","1,803.39","1,799.01","1,813.45","1,798.01",0.25%
"Jul 10, 2020","1,798.90","1,802.13","1,810.76","1,794.28",-0.24%
"Jul 09, 2020","1,803.19","1,811.30","1,816.26","1,795.82",-0.42%
"Jul 08, 2020","1,810.78","1,795.27","1,818.13","1,791.62",0.86%
"Jul 07, 2020","1,795.26","1,783.91","1,797.59","1,773.79",0.64%
"Jul 06, 2020","1,783.90","1,776.31","1,787.09","1,770.13",0.50%
"Jul 03, 2020","1,775.05","1,774.77","1,777.43","1,772.48",-0.06%
"Jul 02, 2020","1,776.14","1,769.60","1,779.83","1,757.68",0.33%
"Jul 01, 2020","1,770.31","1,781.60","1,789.48","1,759.27",-0.64%
"Jun 30, 2020","1,781.67","1,771.90","1,786.02","1,765.35",0.53%
"Jun 29, 2020","1,772.28","1,773.74","1,775.72","1,765.78",0.05%
"Jun 26, 2020","1,771.47","1,761.82","1,772.12","1,747.67",0.55%
"Jun 25, 2020","1,761.81","1,760.32","1,769.04","1,755.49",-0.04%
"Jun 24, 2020","1,762.43","1,768.99","1,779.61","1,760.80",-0.29%
"Jun 23, 2020","1,767.54","1,755.26","1,771.25","1,747.43",0.69%
"Jun 22, 2020","1,755.44","1,748.78","1,763.42","1,743.27",0.68%
"Jun 19, 2020","1,743.61","1,723.69","1,745.36","1,721.18",1.20%
"Jun 18, 2020","1,722.99","1,726.30","1,737.17","1,717.57",-0.23%
"Jun 17, 2020","1,727.04","1,727.71","1,730.41","1,713.22",-0.02%
"Jun 16, 2020","1,727.46","1,725.55","1,733.12","1,716.43",0.11%
"Jun 15, 2020","1,725.53","1,732.32","1,734.53","1,704.31",-0.30%
"Jun 12, 2020","1,730.80","1,728.34","1,743.16","1,722.57",0.19%
"Jun 11, 2020","1,727.51","1,737.01","1,744.92","1,721.58",-0.55%
"Jun 10, 2020","1,737.10","1,714.80","1,740.06","1,708.47",1.31%
